Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
18,Travel_Rarely,Sales,17,1,Human Resources,4,Male,Manufacturing Director,2,Single,9923,3,No,24,3,0,3,3,2,9,5,9,No
23,Non-Travel,Sales,8,4,Life Sciences,4,Male,Research Scientist,3,Married,2313,6,No,10,3,3,4,4,4,4,1,7,No
30,Non-Travel,Research & Development,6,3,Medical,3,Female,Sales Executive,4,Divorced,7030,3,No,18,2,11,6,1,7,9,0,9,No
47,Travel_Rarely,Human Resources,25,1,Medical,4,Male,Research Scientist,3,Married,5617,5,Yes,14,0,28,2,3,13,0,5,6,No
58,Travel_Rarely,Sales,24,4,Life Sciences,4,Male,Sales Executive,4,Single,5208,2,No,10,0,37,4,2,7,5,5,10,No
37,Travel_Frequently,Sales,9,3,Technical Degree,3,Female,Sales Executive,1,Divorced,5454,3,No,16,2,18,3,2,15,8,2,7,No
26,Travel_Rarely,Research & Development,7,3,Marketing,1,Male,Research Scientist,3,Married,7436,3,No,18,1,4,4,4,2,2,9,1,No
47,Travel_Frequently,Research & Development,17,1,Life Sciences,1,Male,Research Director,2,Single,5648,4,Yes,25,1,28,0,1,4,7,3,8,No
52,Travel_Rarely,Research & Development,22,2,Life Sciences,2,Male,Sales Executive,4,Married,2129,5,No,11,3,31,3,1,3,5,9,9,No
26,Non-Travel,Research & Development,27,2,Life Sciences,2,Male,Sales Executive,1,Single,4103,4,No,12,3,8,2,2,5,2,2,10,No
37,Non-Travel,Sales,2,2,Other,2,Male,Laboratory Technician,3,Married,2018,1,No,16,1,17,1,3,13,10,2,3,No
28,Non-Travel,Sales,9,2,Life Sciences,4,Female,Laboratory Technician,1,Single,3926,2,No,10,0,9,4,3,5,8,5,6,No
30,Travel_Frequently,Sales,5,2,Life Sciences,4,Female,Research Scientist,2,Single,3478,3,No,13,2,9,4,2,10,7,5,5,No
49,Non-Travel,Human Resources,19,2,Medical,1,Female,Research Scientist,2,Divorced,4474,4,No,13,1,31,4,1,10,8,6,7,No
41,Travel_Rarely,Research & Development,28,1,Life Sciences,3,Male,Laboratory Technician,3,Single,3313,3,No,21,1,21,4,1,6,3,9,9,No
18,Travel_Frequently,Research & Development,12,2,Life Sciences,2,Male,Sales Executive,4,Married,4805,3,No,19,3,0,1,3,4,8,7,7,No
59,Travel_Rarely,Sales,13,4,Life Sciences,3,Female,Research Scientist,3,Married,8738,2,No,20,2,41,1,4,14,0,0,2,No
27,Travel_Rarely,Sales,6,3,Life Sciences,2,Male,Sales Executive,1,Married,5303,5,No,16,3,6,0,2,4,4,0,6,No
26,Travel_Rarely,Research & Development,3,1,Life Sciences,4,Female,Manufacturing Director,3,Married,6085,3,Yes,25,2,4,0,4,2,5,9,10,No
54,Travel_Rarely,Research & Development,11,4,Technical Degree,2,Male,Manager,1,Married,3554,4,No,24,3,34,0,4,12,6,3,7,No
37,Travel_Frequently,Research & Development,6,2,Life Sciences,2,Male,Sales Executive,1,Divorced,5181,0,No,23,0,17,3,4,4,1,10,7,No
53,Travel_Frequently,Sales,22,4,Technical Degree,1,Male,Sales Executive,1,Single,9633,3,No,23,2,34,0,3,6,5,0,6,No
46,Travel_Rarely,Research & Development,24,2,Life Sciences,4,Male,Manufacturing Director,3,Single,8046,1,No,21,2,28,5,2,4,10,2,3,No
25,Travel_Rarely,Research & Development,29,4,Life Sciences,3,Male,Research Scientist,2,Married,7251,4,No,11,0,3,5,4,0,9,10,2,Yes
28,Travel_Frequently,Research & Development,7,4,Life Sciences,1,Male,Laboratory Technician,4,Single,4668,4,No,21,2,10,2,1,3,9,7,2,No
57,Travel_Rarely,Human Resources,29,2,Life Sciences,4,Male,Laboratory Technician,3,Single,3544,2,Yes,25,0,37,0,1,4,5,0,1,Yes
56,Travel_Rarely,Sales,24,1,Medical,4,Female,Sales Executive,2,Divorced,3485,3,Yes,21,0,35,3,4,5,9,7,3,No
27,Travel_Rarely,Research & Development,8,3,Technical Degree,1,Male,Human Resources,3,Married,6190,3,Yes,19,3,7,3,2,5,10,2,6,No
36,Travel_Rarely,Research & Development,5,4,Marketing,4,Female,Research Scientist,3,Single,4270,3,No,12,2,16,3,2,3,6,1,0,No
25,Travel_Rarely,Human Resources,11,4,Technical Degree,1,Female,Manager,4,Married,4656,4,No,17,2,7,6,4,13,6,6,2,No
57,Travel_Rarely,Research & Development,4,4,Life Sciences,3,Female,Research Scientist,2,Married,2506,4,No,24,1,37,6,3,0,3,10,8,No
33,Travel_Rarely,Sales,14,2,Marketing,4,Female,Laboratory Technician,1,Single,2802,2,No,25,1,13,4,3,3,0,8,7,No
18,Travel_Rarely,Research & Development,16,4,Medical,3,Male,Laboratory Technician,1,Married,4598,1,Yes,20,2,0,4,3,13,0,3,8,No
30,Travel_Rarely,Sales,21,2,Other,3,Male,Manufacturing Director,1,Married,4505,2,No,24,1,9,2,1,12,9,0,0,No
35,Travel_Rarely,Research & Development,22,3,Technical Degree,3,Female,Healthcare Representative,1,Single,3550,4,Yes,20,3,16,0,2,9,4,0,6,No
29,Travel_Frequently,Research & Development,4,4,Marketing,3,Female,Manufacturing Director,2,Married,3912,6,No,19,1,7,3,1,9,2,7,1,No
33,Travel_Rarely,Sales,28,3,Life Sciences,4,Female,Laboratory Technician,1,Single,4265,3,No,17,1,15,5,4,1,5,3,2,No
51,Travel_Rarely,Sales,27,1,Medical,1,Female,Research Scientist,2,Married,8750,2,No,24,1,29,2,2,9,7,6,0,No
47,Travel_Rarely,Human Resources,8,4,Life Sciences,2,Male,Sales Representative,2,Single,5625,2,No,18,3,25,1,4,10,3,1,10,No
42,Travel_Rarely,Sales,6,3,Technical Degree,4,Female,Laboratory Technician,1,Single,3941,5,Yes,11,3,20,4,2,8,8,10,3,No
54,Travel_Rarely,Sales,21,1,Medical,4,Male,Research Scientist,1,Single,6854,2,No,22,0,34,2,2,7,10,9,2,No
37,Travel_Rarely,Sales,1,4,Medical,4,Female,Manufacturing Director,1,Married,4696,1,No,25,2,17,4,3,7,8,1,4,No
53,Travel_Rarely,Research & Development,20,1,Life Sciences,4,Female,Research Scientist,2,Married,5698,1,No,23,1,34,5,2,2,1,4,0,No
48,Non-Travel,Sales,25,2,Medical,3,Male,Sales Executive,2,Married,4566,3,No,17,2,28,0,3,13,4,0,8,No
28,Travel_Rarely,Sales,10,4,Life Sciences,1,Female,Manufacturing Director,1,Single,7170,1,No,19,2,7,3,2,3,1,8,0,No
57,Travel_Rarely,Research & Development,28,1,Life Sciences,2,Male,Sales Executive,4,Married,5109,4,Yes,13,3,35,3,1,10,4,1,6,No
38,Travel_Frequently,Research & Development,6,3,Life Sciences,2,Male,Research Scientist,4,Married,3261,2,No,12,2,18,3,1,13,6,8,1,No
45,Travel_Rarely,Sales,27,4,Marketing,4,Male,Laboratory Technician,2,Married,1238,0,Yes,20,1,24,5,4,2,8,4,10,No
26,Travel_Frequently,Research & Development,7,3,Life Sciences,2,Male,Research Scientist,1,Married,3633,4,No,15,1,4,5,4,10,4,10,1,No
40,Travel_Rarely,Research & Development,14,4,Other,4,Male,Sales Executive,2,Single,5854,4,No,20,0,19,0,3,3,9,6,8,No
44,Non-Travel,Sales,25,3,Life Sciences,1,Female,Manager,4,Married,2856,2,Yes,19,0,24,2,4,2,0,10,3,No
41,Travel_Rarely,Sales,29,4,Life Sciences,1,Female,Laboratory Technician,2,Single,3115,3,No,24,1,19,3,4,14,8,0,2,No
55,Travel_Rarely,Human Resources,1,4,Life Sciences,3,Female,Research Scientist,4,Single,2179,4,No,10,0,36,2,3,6,7,3,6,No
40,Non-Travel,Research & Development,25,4,Life Sciences,3,Female,Healthcare Representative,1,Single,3951,1,Yes,10,1,22,5,2,8,8,1,3,No
27,Travel_Rarely,Research & Development,14,4,Life Sciences,4,Male,Laboratory Technician,3,Married,3114,3,No,20,0,6,3,4,12,1,1,2,No
20,Travel_Rarely,Research & Development,7,3,Marketing,2,Male,Laboratory Technician,3,Married,2814,2,No,11,0,2,3,2,3,5,9,5,No
36,Non-Travel,Human Resources,23,3,Human Resources,4,Female,Manufacturing Director,1,Single,3315,4,No,14,1,15,4,2,7,8,5,1,No
46,Travel_Rarely,Research & Development,4,4,Life Sciences,2,Female,Sales Executive,3,Married,7712,5,No,10,3,28,5,3,12,5,5,3,No
29,Non-Travel,Human Resources,22,3,Life Sciences,1,Female,Research Scientist,3,Married,4959,2,No,23,1,8,2,2,7,10,6,5,No
28,Travel_Rarely,Sales,13,4,Life Sciences,1,Male,Healthcare Representative,2,Single,5521,2,No,23,3,8,3,1,0,3,7,9,No
48,Travel_Rarely,Research & Development,10,4,Life Sciences,4,Female,Laboratory Technician,4,Divorced,5419,3,No,18,3,30,0,4,12,7,1,10,No
53,Travel_Rarely,Sales,1,1,Life Sciences,1,Male,Laboratory Technician,1,Married,3143,3,No,11,2,35,1,3,5,7,8,2,No
46,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Male,Laboratory Technician,1,Married,2954,0,No,18,3,26,6,2,7,10,7,8,No
21,Travel_Frequently,Sales,20,4,Life Sciences,4,Female,Sales Executive,2,Married,13790,5,No,21,2,3,4,4,10,8,1,0,No
37,Non-Travel,Research & Development,6,4,Medical,3,Male,Laboratory Technician,1,Divorced,4292,3,No,22,0,17,1,4,11,9,0,4,No
38,Travel_Rarely,Research & Development,23,2,Medical,1,Male,Research Director,1,Single,5954,4,No,23,3,20,0,4,14,6,7,8,No
32,Non-Travel,Sales,29,2,Life Sciences,4,Female,Human Resources,2,Married,3512,4,No,24,2,10,0,2,11,3,7,6,No
23,Travel_Frequently,Sales,23,3,Life Sciences,3,Male,Research Scientist,2,Single,5580,2,No,10,1,3,0,4,12,2,1,7,No
23,Travel_Rarely,Research & Development,24,2,Other,1,Male,Sales Executive,2,Single,2641,2,Yes,20,0,1,4,2,4,0,0,0,No
24,Travel_Rarely,Research & Development,14,4,Technical Degree,1,Male,Sales Representative,4,Divorced,7378,4,No,25,3,5,4,1,13,0,2,0,No
42,Travel_Rarely,Research & Development,16,2,Life Sciences,3,Female,Research Director,2,Married,6475,3,No,21,3,23,3,1,14,9,7,5,No
57,Non-Travel,Research & Development,17,3,Life Sciences,4,Male,Research Scientist,3,Single,7173,6,No,15,1,36,3,2,7,6,1,7,No
55,Non-Travel,Research & Development,13,3,Life Sciences,4,Male,Laboratory Technician,4,Single,3403,2,No,15,1,34,0,3,15,4,2,0,No
25,Travel_Frequently,Sales,18,2,Life Sciences,1,Male,Laboratory Technician,1,Married,2995,5,No,24,2,5,0,2,5,6,1,7,No
55,Travel_Frequently,Human Resources,3,4,Human Resources,2,Female,Manufacturing Director,3,Married,10404,3,No,24,0,35,3,1,7,7,1,5,No
22,Travel_Rarely,Sales,12,2,Life Sciences,1,Male,Sales Executive,1,Single,4807,1,No,22,1,1,1,4,12,2,5,10,No
41,Travel_Rarely,Sales,16,2,Life Sciences,2,Female,Manufacturing Director,4,Single,2129,3,No,17,1,19,0,1,0,3,8,8,No
53,Travel_Rarely,Human Resources,1,2,Human Resources,3,Male,Human Resources,1,Married,4275,2,No,25,1,32,4,4,0,8,9,6,No
33,Travel_Rarely,Sales,29,4,Life Sciences,1,Male,Sales Executive,4,Single,1651,2,Yes,23,0,11,2,3,10,5,8,5,No
52,Travel_Rarely,Research & Development,22,3,Technical Degree,1,Female,Research Scientist,1,Married,7580,2,No,13,0,30,2,1,10,2,3,3,No
21,Travel_Rarely,Research & Development,8,4,Marketing,2,Male,Human Resources,4,Single,4001,3,No,10,0,2,4,1,8,6,3,2,No
36,Non-Travel,Sales,8,4,Technical Degree,1,Female,Healthcare Representative,2,Married,3324,4,Yes,22,2,16,4,4,3,6,3,1,No
31,Travel_Rarely,Sales,5,4,Human Resources,1,Male,Research Scientist,3,Single,4335,4,Yes,25,2,9,3,2,5,10,6,10,No
21,Travel_Frequently,Research & Development,16,3,Medical,3,Female,Research Director,4,Single,1765,0,Yes,23,2,2,2,3,7,1,1,4,No
55,Non-Travel,Research & Development,15,3,Life Sciences,4,Male,Sales Representative,3,Married,5333,3,No,22,0,36,5,2,15,1,1,1,No
47,Non-Travel,Research & Development,11,2,Life Sciences,1,Male,Research Scientist,1,Divorced,5706,3,No,18,3,28,0,3,15,3,5,0,No
40,Travel_Rarely,Research & Development,14,2,Technical Degree,2,Male,Manager,3,Single,3635,2,No,10,2,18,0,4,6,9,4,5,No
39,Travel_Rarely,Research & Development,1,2,Medical,2,Male,Laboratory Technician,1,Married,2751,6,No,25,1,18,3,2,6,6,3,5,No
39,Travel_Rarely,Research & Development,11,4,Medical,1,Female,Laboratory Technician,2,Married,3353,6,Yes,24,3,20,3,3,6,10,1,6,Yes
35,Travel_Rarely,Sales,22,1,Technical Degree,1,Male,Laboratory Technician,4,Married,6883,4,No,17,0,13,0,1,10,9,2,10,No
41,Travel_Rarely,Research & Development,29,4,Life Sciences,1,Female,Laboratory Technician,1,Divorced,6956,3,Yes,18,0,22,6,2,7,3,4,10,No
48,Travel_Rarely,Sales,4,4,Other,1,Male,Research Scientist,4,Married,5455,4,Yes,13,2,26,1,4,14,6,2,4,No
54,Travel_Rarely,Sales,8,4,Marketing,3,Male,Human Resources,3,Divorced,9140,1,No,18,2,36,2,3,1,8,0,6,No
25,Travel_Rarely,Human Resources,6,2,Marketing,1,Female,Sales Executive,3,Married,9519,1,No,16,3,6,3,3,14,1,4,5,No
38,Travel_Rarely,Sales,2,1,Life Sciences,3,Male,Research Scientist,4,Single,7919,1,No,12,2,19,6,2,8,0,9,7,No
45,Travel_Rarely,Research & Development,10,2,Technical Degree,2,Male,Sales Representative,4,Single,9143,2,No,17,3,23,6,3,11,4,7,9,No
29,Travel_Rarely,Sales,6,3,Medical,1,Male,Sales Executive,2,Divorced,3278,3,No,12,2,9,3,3,1,0,5,2,No
23,Travel_Rarely,Research & Development,11,3,Technical Degree,3,Female,Manufacturing Director,3,Married,3731,0,No,15,0,2,1,3,11,3,1,8,No
40,Travel_Rarely,Sales,1,1,Life Sciences,4,Female,Sales Executive,4,Married,7050,4,Yes,12,1,21,4,2,14,7,6,1,No
43,Non-Travel,Research & Development,3,1,Medical,4,Male,Sales Executive,2,Married,7579,5,No,20,2,23,6,3,15,4,3,5,No
36,Travel_Rarely,Research & Development,22,1,Technical Degree,3,Male,Sales Representative,2,Married,2736,2,No,13,0,16,5,4,10,6,4,6,No
31,Travel_Rarely,Research & Development,14,2,Medical,1,Male,Research Scientist,2,Single,4688,1,No,17,2,10,0,4,12,7,0,6,No
56,Travel_Rarely,Sales,11,4,Life Sciences,2,Male,Sales Executive,2,Married,3637,2,No,21,3,37,5,2,10,8,6,8,Yes
21,Travel_Frequently,Research & Development,26,3,Medical,2,Male,Laboratory Technician,4,Married,3790,3,No,15,3,1,2,2,4,1,0,3,No
32,Travel_Frequently,Research & Development,26,1,Marketing,2,Male,Sales Executive,4,Married,7491,0,No,11,2,13,1,1,4,6,3,9,No
41,Travel_Frequently,Research & Development,4,4,Other,3,Male,Sales Executive,4,Married,6340,4,No,15,1,20,4,2,11,3,1,7,No
31,Non-Travel,Sales,27,3,Life Sciences,3,Female,Sales Executive,4,Single,5457,5,Yes,13,1,12,4,3,10,5,4,7,No
42,Travel_Rarely,Research & Development,17,2,Life Sciences,3,Female,Healthcare Representative,4,Single,3329,3,Yes,19,1,21,0,1,5,2,3,1,No
38,Non-Travel,Research & Development,27,2,Medical,1,Female,Sales Executive,4,Married,5253,3,Yes,20,0,16,3,1,11,9,4,0,No
18,Travel_Rarely,Sales,18,1,Marketing,3,Male,Research Scientist,3,Single,5714,6,No,13,3,0,3,2,15,1,4,3,No
47,Travel_Frequently,Research & Development,26,4,Life Sciences,3,Male,Laboratory Technician,2,Married,4992,3,No,14,0,29,5,3,10,9,4,7,No
29,Travel_Rarely,Research & Development,16,4,Life Sciences,1,Female,Laboratory Technician,2,Single,5873,3,No,22,3,11,6,1,13,4,5,0,No
58,Non-Travel,Sales,3,1,Life Sciences,2,Male,Sales Executive,1,Married,3686,4,No,12,0,40,2,3,13,0,1,2,No
45,Travel_Frequently,Sales,4,4,Life Sciences,4,Female,Manufacturing Director,3,Single,5167,3,No,18,0,25,0,1,5,4,10,8,No
51,Travel_Rarely,Research & Development,25,1,Life Sciences,3,Female,Research Scientist,2,Single,4980,1,No,14,2,31,2,3,0,8,3,2,No
42,Non-Travel,Research & Development,15,4,Life Sciences,2,Female,Laboratory Technician,2,Married,2869,2,Yes,24,1,21,3,3,14,6,7,3,No
54,Travel_Frequently,Research & Development,8,4,Technical Degree,2,Male,Sales Executive,3,Married,8570,5,No,23,3,34,4,3,4,10,3,0,No
56,Travel_Rarely,Research & Development,24,3,Technical Degree,4,Male,Research Scientist,2,Divorced,4161,3,Yes,15,3,36,2,3,8,10,2,1,No
27,Travel_Rarely,Human Resources,12,1,Technical Degree,4,Female,Sales Executive,3,Single,4623,3,No,16,2,6,5,3,7,3,3,5,No
21,Travel_Rarely,Sales,9,2,Other,3,Male,Healthcare Representative,1,Single,5438,5,No,20,0,1,1,2,2,8,1,3,No
19,Travel_Rarely,Sales,16,3,Life Sciences,1,Male,Sales Executive,4,Single,3735,5,No,16,2,0,4,4,13,10,6,2,No
33,Travel_Rarely,Research & Development,8,1,Life Sciences,1,Male,Sales Executive,3,Married,4378,2,No,12,3,13,1,1,3,1,6,4,No
22,Travel_Rarely,Research & Development,8,1,Life Sciences,1,Female,Research Scientist,1,Married,6117,0,No,19,2,2,6,4,4,10,1,10,No
22,Travel_Rarely,Research & Development,3,1,Life Sciences,2,Female,Healthcare Representative,2,Married,9185,2,No,24,3,3,2,3,2,8,1,7,No
54,Travel_Rarely,Sales,16,1,Life Sciences,3,Female,Laboratory Technician,3,Married,5357,3,Yes,11,2,35,4,1,7,3,3,3,No
36,Travel_Frequently,Sales,22,2,Medical,3,Female,Sales Executive,1,Married,6739,2,No,20,3,14,5,1,3,1,3,1,No
32,Travel_Rarely,Research & Development,1,2,Technical Degree,2,Male,Sales Representative,4,Divorced,5429,5,Yes,21,2,14,4,3,4,0,0,0,Yes
46,Travel_Rarely,Research & Development,14,4,Marketing,3,Male,Laboratory Technician,2,Married,3377,0,No,20,1,24,4,4,14,9,8,3,No
35,Travel_Rarely,Research & Development,25,1,Life Sciences,4,Male,Sales Executive,1,Divorced,2166,3,No,13,3,14,5,1,1,7,3,3,No
41,Travel_Rarely,Sales,29,1,Marketing,2,Male,Research Scientist,4,Married,5486,6,No,11,1,23,6,1,6,6,1,3,No
34,Travel_Rarely,Research & Development,17,3,Technical Degree,2,Female,Research Director,2,Married,6048,7,No,24,3,12,1,1,10,8,6,9,No
24,Travel_Rarely,Research & Development,6,1,Other,1,Male,Manufacturing Director,2,Married,4171,3,Yes,18,0,6,2,3,3,8,1,3,No
25,Travel_Rarely,Research & Development,28,2,Life Sciences,3,Male,Laboratory Technician,1,Divorced,4178,4,No,22,0,7,4,3,10,8,10,7,No
38,Travel_Rarely,Sales,23,3,Other,3,Male,Laboratory Technician,1,Single,5929,3,No,15,3,17,3,3,8,2,8,0,No
28,Non-Travel,Sales,28,2,Medical,2,Male,Sales Representative,4,Single,9116,3,No,25,2,8,2,2,8,3,4,9,No
50,Non-Travel,Sales,8,2,Human Resources,4,Male,Research Scientist,1,Married,6795,2,No,22,1,28,5,1,11,3,5,7,No
57,Travel_Frequently,Research & Development,3,3,Marketing,3,Male,Sales Executive,3,Married,2847,2,Yes,14,1,35,3,1,13,10,4,2,No
41,Non-Travel,Sales,29,4,Life Sciences,4,Male,Laboratory Technician,4,Married,7045,2,Yes,17,0,23,1,4,8,1,0,1,No
40,Non-Travel,Research & Development,27,3,Life Sciences,2,Male,Research Scientist,3,Divorced,3149,3,No,16,3,19,2,4,5,5,2,8,No
39,Travel_Rarely,Research & Development,26,2,Technical Degree,1,Male,Healthcare Representative,2,Married,8214,3,Yes,22,1,20,2,1,4,7,7,10,Yes
44,Travel_Frequently,Research & Development,3,2,Medical,3,Female,Research Scientist,4,Divorced,4613,2,Yes,15,0,22,5,1,3,0,0,7,No
30,Travel_Rarely,Research & Development,22,4,Life Sciences,4,Female,Laboratory Technician,3,Married,5544,5,No,10,1,9,6,2,8,5,8,6,No
20,Non-Travel,Research & Development,20,2,Life Sciences,1,Female,Manufacturing Director,1,Single,4603,3,Yes,18,1,0,6,1,4,10,10,0,No
58,Travel_Rarely,Research & Development,7,2,Marketing,1,Female,Sales Executive,2,Single,6692,7,Yes,20,2,38,3,4,2,8,9,5,No
35,Travel_Rarely,Research & Development,4,2,Life Sciences,3,Female,Manager,4,Married,4118,4,No,23,1,17,5,1,8,5,1,8,No
19,Non-Travel,Sales,24,3,Marketing,1,Female,Manufacturing Director,3,Single,4174,6,No,16,2,0,6,1,4,2,4,6,No
43,Travel_Rarely,Research & Development,28,4,Life Sciences,4,Female,Sales Executive,3,Married,7146,3,No,19,1,22,6,1,3,6,4,6,No
20,Travel_Frequently,Sales,7,4,Life Sciences,3,Male,Research Scientist,1,Single,3043,5,Yes,17,3,0,6,4,14,2,5,4,No
34,Travel_Rarely,Research & Development,12,1,Medical,2,Male,Manufacturing Director,3,Single,6731,2,No,14,0,12,0,4,7,8,5,5,No
20,Travel_Frequently,Research & Development,15,4,Other,4,Male,Research Scientist,4,Married,5582,3,No,15,3,0,5,4,12,1,6,8,No
42,Travel_Frequently,Sales,12,1,Life Sciences,4,Female,Research Scientist,1,Single,7797,3,No,12,2,22,6,3,7,8,5,1,No
33,Non-Travel,Research & Development,2,3,Human Resources,4,Male,Sales Executive,4,Single,3475,0,Yes,21,0,14,5,1,13,3,4,10,No
47,Travel_Rarely,Sales,23,3,Life Sciences,1,Female,Research Scientist,2,Single,6619,3,No,16,2,27,5,1,3,3,7,5,No
24,Non-Travel,Research & Development,2,3,Other,1,Male,Sales Executive,1,Married,2977,2,No,17,3,6,5,2,9,6,8,4,No
46,Travel_Frequently,Sales,3,3,Human Resources,3,Female,Laboratory Technician,1,Single,1410,1,No,10,1,24,1,2,14,2,3,10,No
40,Travel_Rarely,Sales,20,4,Marketing,3,Male,Healthcare Representative,1,Married,5107,2,Yes,10,3,21,1,3,10,9,3,3,No
38,Travel_Frequently,Research & Development,25,2,Life Sciences,2,Female,Sales Executive,2,Married,4923,5,No,16,2,17,3,2,15,7,4,1,No
43,Travel_Rarely,Research & Development,2,3,Other,1,Female,Research Director,4,Single,6536,3,Yes,12,1,25,5,3,6,9,1,3,No
51,Travel_Rarely,Human Resources,11,1,Life Sciences,2,Male,Sales Executive,2,Married,5279,3,Yes,16,1,32,3,4,1,9,1,2,No
25,Non-Travel,Research & Development,19,2,Human Resources,4,Male,Sales Executive,4,Divorced,3759,5,No,11,1,7,1,3,13,0,2,0,No
26,Travel_Rarely,Research & Development,21,2,Other,3,Female,Human Resources,3,Married,6049,2,No,16,2,8,1,1,8,10,5,3,No
34,Travel_Rarely,Research & Development,21,4,Marketing,2,Female,Sales Executive,3,Single,8616,8,No,15,3,16,6,2,4,3,10,3,No
47,Travel_Rarely,Research & Development,8,4,Technical Degree,1,Male,Research Scientist,4,Married,3087,1,No,23,3,25,4,4,9,4,8,10,No
18,Travel_Frequently,Sales,17,2,Technical Degree,4,Female,Laboratory Technician,2,Divorced,8449,5,No,13,1,0,6,3,5,0,10,6,No
58,Travel_Rarely,Research & Development,11,4,Life Sciences,2,Female,Manager,2,Single,5249,5,No,16,2,37,5,1,6,5,10,2,No
57,Travel_Rarely,Research & Development,13,2,Life Sciences,2,Female,Sales Representative,1,Married,9732,2,Yes,18,3,36,1,1,1,8,3,9,Yes
34,Travel_Rarely,Research & Development,15,1,Life Sciences,1,Female,Research Scientist,3,Divorced,3603,3,No,10,0,14,0,4,5,8,5,0,No
56,Non-Travel,Research & Development,4,2,Medical,1,Female,Research Scientist,1,Divorced,2633,2,No,20,2,38,4,4,12,4,3,7,No
57,Travel_Rarely,Sales,24,2,Life Sciences,2,Male,Laboratory Technician,3,Divorced,3754,4,No,18,1,37,1,3,3,7,0,5,No
57,Travel_Rarely,Sales,9,1,Life Sciences,1,Female,Research Scientist,2,Married,5973,7,No,23,1,37,1,3,9,0,7,0,No
53,Non-Travel,Sales,18,1,Medical,2,Female,Laboratory Technician,1,Married,2970,2,Yes,20,3,33,3,4,3,2,0,5,Yes
43,Non-Travel,Sales,15,3,Medical,3,Male,Sales Representative,3,Divorced,5823,2,Yes,15,2,24,1,3,14,10,6,4,No
49,Travel_Rarely,Research & Development,9,2,Human Resources,1,Male,Sales Representative,1,Married,3774,0,No,22,1,28,1,2,8,8,3,5,No
29,Travel_Rarely,Sales,8,1,Life Sciences,3,Male,Manufacturing Director,1,Married,2329,6,No,16,3,7,5,4,3,10,0,3,No
26,Travel_Rarely,Human Resources,13,3,Life Sciences,2,Male,Research Scientist,1,Married,2928,2,Yes,17,1,5,3,4,13,6,9,10,No
29,Travel_Rarely,Research & Development,12,2,Life Sciences,4,Male,Research Scientist,1,Single,15229,4,No,17,3,9,4,1,1,6,10,8,No
30,Travel_Rarely,Sales,4,1,Life Sciences,3,Male,Manager,4,Single,8033,1,No,20,3,10,5,2,9,7,1,6,No
33,Non-Travel,Research & Development,19,2,Other,4,Male,Healthcare Representative,3,Married,4799,2,Yes,20,3,14,3,1,11,6,7,3,No
40,Travel_Rarely,Research & Development,25,3,Medical,3,Female,Sales Executive,3,Married,4151,1,No,10,1,18,3,3,2,0,5,8,No
